t_GeV2,incoherent_nb_per_GeV2
2.820000000000000284e-01,3.640438690308871372e+01
2.850000000000000311e-01,3.648873408231189330e+01
2.880000000000000338e-01,3.656979195017424189e+01
2.909999999999999809e-01,3.664762085977393014e+01
2.939999999999999836e-01,3.672228013581182893e+01
2.969999999999999862e-01,3.679382809192038195e+01
2.999999999999999889e-01,3.686232204770160337e+01
3.029999999999999916e-01,3.692781834547792386e+01
3.059999999999999942e-01,3.699037236676143436e+01
3.089999999999999969e-01,3.705003854844603950e+01
3.119999999999999996e-01,3.710687039872720305e+01
3.150000000000000022e-01,3.716092051275390418e+01
3.180000000000000049e-01,3.721224058801666246e+01
3.210000000000000075e-01,3.726088143947855258e+01
3.240000000000000102e-01,3.730689301444930095e+01
3.270000000000000129e-01,3.735032440721064262e+01
3.300000000000000155e-01,3.739122387339508435e+01
3.330000000000000182e-01,3.742963884412354503e+01
3.360000000000000209e-01,3.746561593990342942e+01
3.390000000000000235e-01,3.749920098429521431e+01
3.420000000000000262e-01,3.753043901734685761e+01
3.450000000000000289e-01,3.755937430880420891e+01
3.480000000000000315e-01,3.758605037109728642e+01
3.510000000000000342e-01,3.761050997210993074e+01
3.539999999999999813e-01,3.763279514773259393e+01
3.569999999999999840e-01,3.765294721420622892e+01
3.599999999999999867e-01,3.767100678025659732e+01
3.629999999999999893e-01,3.768701375902535489e+01
3.659999999999999920e-01,3.770100737980015282e+01
3.689999999999999947e-01,3.771302619954761326e+01
3.719999999999999973e-01,3.772310811425224131e+01
3.750000000000000000e-01,3.773129037006390263e+01
3.780000000000000027e-01,3.773760957425901097e+01
3.810000000000000053e-01,3.774210170601598691e+01
3.840000000000000080e-01,3.774480212701078585e+01
3.870000000000000107e-01,3.774574559183219691e+01
3.900000000000000133e-01,3.774496625822461482e+01
3.930000000000000160e-01,3.774249769715603264e+01
3.960000000000000187e-01,3.773837290271770684e+01
3.990000000000000213e-01,3.773262430185744876e+01
4.000000000000000222e-01,3.773035277986627278e+01
4.020000000000000240e-01,3.772528376394883765e+01
4.050000000000000266e-01,3.771638261019923988e+01
4.080000000000000293e-01,3.770595162289991720e+01
4.110000000000000320e-01,3.769402105452046925e+01
4.140000000000000346e-01,3.768062063664988415e+01
4.169999999999999818e-01,3.766577958878762900e+01
4.199999999999999845e-01,3.764952662698654962e+01
4.229999999999999871e-01,3.763188997235027244e+01
4.259999999999999898e-01,3.761289735938828471e+01
4.289999999999999925e-01,3.759257604422904819e+01
4.319999999999999951e-01,3.757095281269677400e+01
4.349999999999999978e-01,3.754805398825052976e+01
4.380000000000000004e-01,3.752390543979090864e+01
4.410000000000000031e-01,3.749853258933514155e+01
4.440000000000000058e-01,3.747196041956260615e+01
4.470000000000000084e-01,3.744421348123385940e+01
4.500000000000000111e-01,3.741531590048455058e+01
4.530000000000000138e-01,3.738529138599690071e+01
4.560000000000000164e-01,3.735416323604988520e+01
4.590000000000000191e-01,3.732195434545190693e+01
