t_GeV2,coherent_nb_per_GeV2,incoherent_nb_per_GeV2
1.835000000000000187e+00,1.513489838026365643e-02,1.229110589448377944e+01
1.840000000000000080e+00,1.471398693871358437e-02,1.223652162597000981e+01
1.845000000000000195e+00,1.430478296810840447e-02,1.218218006702320722e+01
1.849999999999999867e+00,1.390696078374673364e-02,1.212808016227775276e+01
1.854999999999999982e+00,1.352020376230676259e-02,1.207422086013625417e+01
1.860000000000000098e+00,1.314420408969899090e-02,1.202060111278039933e+01
1.865000000000000213e+00,1.277866251593583538e-02,1.196721987618100513e+01
1.870000000000000329e+00,1.242328811682375661e-02,1.191407611010726342e+01
1.875000000000000000e+00,1.207779806228745714e-02,1.186116877813529413e+01
1.880000000000000115e+00,1.174191739114162879e-02,1.180849684765566820e+01
1.884999999999999787e+00,1.141537879213126022e-02,1.175605928988065330e+01
1.890000000000000124e+00,1.109792239106501162e-02,1.170385507985032625e+01
1.895000000000000018e+00,1.078929554387320078e-02,1.165188319643813308e+01
1.900000000000000355e+00,1.048925263542464272e-02,1.160014262235593563e+01
1.905000000000000027e+00,1.019755488394272734e-02,1.154863234415827655e+01
